CHALLENGE        NODE       STATUS       SEVERITY   TARGET         REASON
ch-d6eaab3c91e   1.1        open         critical   type_error     Type error in self-adjoint const...
ch-db685be63b0   1.1        open         major      statement      Algebraic structure incomplete: ...
ch-027b98b8719   1.2        open         note       statement      Uniqueness of representation: Ca...
ch-20dd4ca727a   1.2        open         critical   statement      Index sets unspecified: What are...
ch-21b06c148a9   1.2        open         critical   statement      Why is M called a 'module'? Over...
ch-2956f6f1987   1.2        open         note       statement      Comparison with standard termino...
ch-2eeeb183861   1.2        open         major      statement      Scalar multiplication not addres...
ch-2f080a80049   1.2        open         major      statement      Empty sum convention: When 'fini...
ch-36d41c54477   1.2        open         critical   statement      The term 'quadratic module' is u...
ch-46ea4d17a47   1.2        open         major      statement      Notation inconsistency: Why use ...
ch-62cc9c7f24d   1.2        open         major      statement      Cone structure unclear: Is M int...
ch-72ef8aaf5fc   1.2        open         major      dependencies   Missing dependency on node 1.1: ...
ch-8e1617d52bf   1.2        open         major      statement      Role of generators g_j unclear: ...
ch-90025cf8620   1.2        open         critical   statement      Finite vs countable sums: The ph...
ch-a174cefb5c2   1.2        open         minor      statement      Unit element membership: Does 1 ...
ch-a3b98afcdda   1.2        open         minor      statement      Zero element membership: Does 0 ...
ch-bab32166c74   1.2        open         major      statement      Self-adjointness of elements in ...
ch-bb03f8d528d   1.2        open         critical   statement      Two-term structure unexplained: ...
ch-cbb625828e0   1.2        open         major      statement      Closure properties not stated: I...
ch-d3c99bcb192   1.2        open         critical   statement      Non-commutativity considerations...
ch-0027a85a8c4   1.3        open         major      statement      Algebraic structure: The stateme...
ch-34fb0032835   1.3        open         major      statement      Undefined scalar multiplication:...
ch-3578db63b80   1.3        open         major      statement      Redundancy check: By definition ...
ch-6cddd49ab4b   1.3        open         major      dependencies   Missing dependency on node 1.2: ...
ch-73537f9c890   1.3        open         major      statement      Quantifier order ambiguity: 'For...
ch-7e071254f91   1.3        open         major      domain         Domain specification: 'N in N' p...
ch-a0f323e0ca2   1.3        open         note       completeness   Verification gap: Is this assump...
ch-ae5143077a2   1.3        open         critical   statement      Motivation gap: WHY is this assu...
ch-b1e93e85af2   1.3        open         major      context        Relationship to 1.1: Node 1.1 de...
ch-b860564c079   1.3        open         major      scope          Global vs local scope: This is m...
ch-c8cd9df0325   1.3        open         minor      completeness   Edge case: What if A_0 is trivia...
ch-d4d2eba944a   1.3        open         critical   statement      Definition comparison: Standard ...
ch-fb88ed1a510   1.3        open         major      statement      Constructiveness: Is the existen...
ch-2f8dc914a41   1.3.1      open         critical   statement      UNDEFINED TERM: The notation '(A...
ch-358a799fe76   1.3.1      open         major      completeness   INCOMPLETE JUSTIFICATION: Even a...
ch-35d10191711   1.3.1      open         major      statement      DOMAIN QUESTION: Why does the st...
ch-45d2cf22c92   1.3.1      open         major      dependencies   MISSING DEPENDENCY: This node cl...
ch-4c6dfa95019   1.3.1      open         major      statement      MATHEMATICAL ERROR: For a in A_0...
ch-8092e8bfeee   1.3.1      open         critical   statement      UNPROVEN CLAIM OF WEAKNESS: The ...
ch-b139fe74c4f   1.3.1      open         major      inference      INFERENCE TYPE ERROR: This node ...
ch-c56b90b9cc4   1.3.1      open         critical   statement      CIRCULAR REASONING RISK: The chi...
ch-e195e09293e   1.3.1      open         note       statement      PRECISION REQUEST: The standard ...
ch-e1d7c9634ab   1.3.1      open         major      statement      VAGUE REFERENCE: The statement s...
ch-fb16c98616b   1.3.1      open         minor      statement      AMBIGUOUS LANGUAGE: The phrase '...
ch-19609a02cc1   1.3.1.1    open         major      dependencies   MISSING DEPENDENCIES: Node 1.3.1...
ch-21ab12617ea   1.3.1.1    open         major      scope          SCOPE CONFUSION: This node appea...
ch-22681175480   1.3.1.1    open         critical   statement      UNDEFINED REFERENCE: The stateme...
ch-5a47a0c0567   1.3.1.1    open         major      statement      AMBIGUOUS NOTATION 'a^*a': The s...
ch-5fe0de96f7f   1.3.1.1    open         critical   statement      FORWARD REFERENCE CIRCULARITY: N...
ch-646f6eb5c15   1.3.1.1    open         major      completeness   INCOMPLETE JUSTIFICATION: This n...
ch-93eb8264634   1.3.1.1    open         major      inference      INFERENCE TYPE MISMATCH: This no...
ch-a98c2851d71   1.3.1.1    open         major      statement      UNPROVEN CLAIM 'ONLY REQUIRES': ...
ch-dc05b18e971   1.3.1.1    open         note       context        EXAMINATION OF ACTUAL LEMMA 2.1:...
ch-f22e27a04da   1.3.1.1    open         minor      statement      VAGUE QUANTIFICATION: When the s...
ch-2b38965cb00   1.3.1.2    open         critical   inference      Inference type mismatch: This no...
ch-5beab239e6f   1.3.1.2    open         major      statement      Missing precise definition of (A...
ch-69e637f61c8   1.3.1.2    open         minor      statement      Ambiguous statement structure: T...
ch-7409d211229   1.3.1.2    open         critical   scope          Potential circular reasoning via...
ch-7aef8e374c8   1.3.1.2    open         critical   dependencies   Forward reference to non-existen...
ch-7f4e864a553   1.3.1.2    open         major      completeness   Missing verification that M is n...
ch-8cf409f11dc   1.3.1.2    open         critical   statement      Terminology inconsistency: In no...
ch-93472db6368   1.3.1.2    open         major      context        Context mismatch with parent rem...
ch-a8a4cddbe33   1.3.1.2    open         critical   statement      The statement contains undefined...
ch-e8f48997bd9   1.3.1.2    open         major      statement      Insufficient justification of co...
ch-42da17d1f35   1.3.1.3    open         major      dependencies   This node has ZERO dependencies ...
ch-571fb35c01d   1.3.1.3    open         critical   context        The Riesz-Kantorovich theorem as...
ch-673d58cc518   1.3.1.3    open         major      completeness   The Riesz-Kantorovich theorem st...
ch-8e478d8713f   1.3.1.3    open         major      scope          The term 'generating cone' appea...
ch-a9379563645   1.3.1.3    open         major      gap            The claim is part of a justifica...
ch-bfa8cd40d60   1.3.1.3    open         major      context        The claim implies a CONTRAST bet...
ch-c15b865238b   1.3.1.3    open         major      statement      The statement is imprecise and a...
ch-c1a7dd31792   1.3.1.3    open         critical   gap            The claim says Riesz extension '...
ch-da2f824a771   1.3.1.3    open         major      inference      This node is classified as 'assu...
ch-e28720e88c4   1.3.1.3    open         major      statement      The term 'order unit' is used wi...
ch-f3bed038395   1.3.1.3    open         minor      statement      The phrasing 'requires only X, n...
ch-01c8587b9ac   1.4        open         major      completeness   The statement defines S_M but pr...
ch-068f6934611   1.4        open         major      statement      Terminology inconsistency: The t...
ch-0a84be233e1   1.4        open         critical   gap            The statement does not establish...
ch-0ec2b02e185   1.4        open         minor      completeness   The definition suggests a connec...
ch-1a8ace2e05b   1.4        open         critical   statement      The statement claims phi(m) >= 0...
ch-216ea392027   1.4        open         critical   gap            For phi(m) to be real-valued (re...
ch-3396b5cb02c   1.4        open         minor      completeness   The definition does not address ...
ch-3c24b9c6542   1.4        open         minor      statement      The statement says 'a linear fun...
ch-421c52289b3   1.4        open         note       statement      Notational suggestion: The set S...
ch-5d8ff17864c   1.4        open         critical   gap            The statement does not specify w...
ch-90ddcb46a3c   1.4        open         major      completeness   The definition does not establis...
ch-f4d6f7dd82b   1.4        open         major      gap            The definition requires phi(1) =...
ch-f5be48f92d0   1.4        open         major      dependencies   This node has no dependencies li...
ch-22cd1462eb6   1.4.1      open         critical   statement      The element '1' is not explicitl...
ch-2f32630e312   1.4.1      open         major      dependencies   Missing dependency on 1.2: This ...
ch-3d514e11d40   1.4.1      open         critical   statement      Normalization is arbitrary: Why ...
ch-49786162a08   1.4.1      open         major      statement      Is 1 in M?: The quadratic module...
ch-5c57dad95d6   1.4.1      open         major      statement      Implication for scalar multiples...
ch-5c7a41dfb9a   1.4.1      open         critical   statement      Interaction with linearity not e...
ch-61e510a25ad   1.4.1      open         major      statement      Alternative normalizations not c...
ch-6a46e84db87   1.4.1      open         minor      statement      Codomain mismatch: The parent no...
ch-81280642517   1.4.1      open         major      context        Relation to standard C*-algebra ...
ch-909ef6782c7   1.4.1      open         critical   statement      Functional form not specified: T...
ch-951b15c77af   1.4.1      open         major      statement      Uniqueness not addressed: Does t...
ch-9b1bc89a9c7   1.4.1      open         major      inference      Inference type 'assumption' ques...
ch-b151314949e   1.4.1      open         major      completeness   What if phi(1) < 0?: The stateme...
ch-cbcf70af40b   1.4.1      open         note       statement      Terminology 'normalization' load...
ch-f1b027ab2fd   1.4.1      open         critical   domain         Domain of phi not verified: The ...
ch-fc9b9a56da7   1.4.1      open         major      statement      Case phi(1) = 0 not excluded: Wh...
ch-091d2ff2712   1.4.2      open         minor      statement      NOTATIONAL INCONSISTENCY: The st...
ch-0dab3afe956   1.4.2      open         major      dependencies   MISSING DEPENDENCY ON 1.2: The c...
ch-4eac1712775   1.4.2      open         critical   statement      IMPLICIT SELF-ADJOINTNESS ASSUMP...
ch-9c686b19a83   1.4.2      open         major      domain         QUADRATIC MODULE GENERATORS NOT ...
ch-a04660b7173   1.4.2      open         critical   type_error     TYPE MISMATCH: phi : A_0 -> C me...
ch-adc124a7574   1.4.2      open         major      statement      AMBIGUOUS POSITIVITY CONDITION: ...
ch-cc81f688b14   1.4.2      open         critical   gap            MISSING STAR-HOMOMORPHISM PROPER...
ch-d2b5702d53c   1.4.2      open         major      gap            RELATIONSHIP TO STANDARD POSITIV...
ch-d96092f4c41   1.4.2      open         minor      completeness   EDGE CASE: What if M = A_0? Then...
ch-12fedb86fac   1.4.3      open         major      statement      Topology on S_M not specified: T...
ch-3854c4344b7   1.4.3      open         major      statement      Convexity not established: State...
ch-5b85a06f79c   1.4.3      open         note       completeness   Measurability and integration no...
ch-77755f13014   1.4.3      open         critical   statement      Set vs. proper class ambiguity: ...
ch-780c8068f3d   1.4.3      open         major      completeness   Uniqueness and dependency on M u...
ch-cdbbaf8022b   1.4.3      open         minor      statement      Notation potentially ambiguous: ...
ch-d4ffa8a82d6   1.4.3      open         major      completeness   Compactness not addressed: In ma...
ch-d9275565313   1.4.3      open         major      completeness   Relationship to pure states not ...
ch-e291fe3a0a2   1.4.3      open         critical   completeness   Non-emptiness not established: T...
ch-eb6b4dfdd93   1.4.3      open         major      domain         Boundedness and norm structure n...
ch-09773a00a2b   1.5        open         critical   statement      Hilbert space H unspecified: Wha...
ch-45da5af7a35   1.5        open         major      dependencies   Missing dependency on g_j: The d...
ch-605d9dab65b   1.5        open         major      completeness   Self-adjointness preservation un...
ch-66c5846cffa   1.5        open         minor      statement      Constraint limited to generators...
ch-73b3ad50e0a   1.5        open         major      statement      Positivity of operators ambiguou...
ch-88cfa3a77f0   1.5        open         critical   statement      B(H) undefined: The notation B(H...
ch-8e89872a208   1.5        open         major      type_error     Domain-codomain type mismatch po...
ch-8f8f0b9dcaf   1.5        open         major      context        Relationship to S_M unclear: Nod...
ch-b21a7e887b9   1.5        open         minor      statement      Notation pi used before introduc...
ch-c33dda156b2   1.5        open         major      dependencies   Missing dependency on 1.1: The d...
ch-d2b072ef2e4   1.5        open         major      completeness   Existence not established: Do co...
ch-ee25905f174   1.5        open         critical   statement      *-representation undefined: The ...
ch-ff4181b6cfd   1.5        open         minor      statement      Unitality of pi unspecified: Is ...

Total: 171 challenge(s)

Next steps:
  af resolve-challenge <id>  - Resolve a challenge with an explanation
  af withdraw-challenge <id> - Withdraw a challenge if no longer relevant
